Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Relatives,Title,Child
0,3,male,23.5,0,0,7.2292,C,8,0,Mr,0
0,1,female,2.0,1,2,151.55,S,3,3,Miss,1
1,1,male,41.56940775387551,0,0,30.5,S,3,0,Mr,0
1,1,female,50.0,0,1,247.5208,C,2,1,Mrs,0
1,3,female,25.32769771038549,0,0,7.75,Q,8,0,Miss,0
1,3,male,20.459015720345462,2,0,23.25,Q,8,2,Mr,0
0,3,male,19.0,0,0,0.0,S,8,0,Mr,0
1,2,female,32.1076707055697,0,0,12.35,Q,5,0,Miss,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
1,1,male,0.92,1,2,151.55,S,3,3,Master,1
1,1,female,37.26232984183461,0,0,110.8833,C,8,0,Miss,0
1,1,female,17.0,1,0,108.9,C,3,1,Mrs,0
0,2,male,30.0,1,0,24.0,C,8,1,Mr,0
1,1,female,30.0,0,0,56.9292,C,5,0,Miss,0
1,1,female,24.0,0,0,83.1583,C,3,0,Miss,0
1,1,female,18.0,2,2,262.375,C,2,4,Miss,0
0,2,female,26.0,1,1,26.0,S,8,2,Mrs,0
0,3,male,28.0,0,0,7.8958,S,8,0,Mr,0
0,2,male,43.0,1,1,26.25,S,8,2,Mr,0
1,3,female,26.0,0,0,7.8542,S,8,0,Miss,0
1,2,female,24.0,1,0,26.0,S,8,1,Mrs,0
0,2,male,54.0,0,0,14.0,S,8,0,Other,0
1,1,female,31.0,0,2,164.8667,S,3,2,Miss,0
1,1,female,40.0,1,1,134.5,C,5,2,Mrs,0
0,3,male,22.0,0,0,7.25,S,8,0,Mr,0
0,3,male,27.0,0,0,7.8958,S,8,0,Mr,0
1,2,female,30.0,0,0,12.35,Q,8,0,Miss,0
1,2,female,22.0,1,1,29.0,S,8,2,Mrs,0
0,3,male,0.0,8,2,69.55,S,8,10,Mr,1
1,1,female,36.0,0,0,135.6333,C,3,0,Miss,0
0,3,male,61.0,0,0,6.2375,S,8,0,Mr,0
1,2,female,36.0,0,0,13.0,S,4,0,Mrs,0
1,3,female,31.0,1,1,20.525,S,8,2,Mrs,0
1,1,female,16.0,0,1,57.9792,C,2,1,Miss,0
1,3,female,17.54279804121098,2,0,23.25,Q,8,2,Miss,0
0,1,male,45.5,0,0,28.5,S,3,0,Mr,0
0,1,male,38.0,0,1,153.4625,S,3,1,Mr,0
0,3,male,16.0,2,0,18.0,S,8,2,Mr,0
1,1,female,33.11004829021799,1,0,133.65,S,8,1,Mrs,0
0,3,male,28.24139263389838,0,0,7.8958,S,8,0,Mr,0
0,1,male,29.0,1,0,66.6,S,3,1,Mr,0
1,1,female,41.0,0,0,134.5,C,5,0,Miss,0
1,3,male,45.0,0,0,8.05,S,8,0,Mr,0
0,1,male,45.0,0,0,35.5,S,8,0,Mr,0
1,2,male,2.0,1,1,26.0,S,6,2,Master,1
1,1,female,24.0,3,2,263.0,S,3,5,Miss,0
0,2,male,28.0,0,0,13.0,S,8,0,Mr,0
0,2,male,25.0,0,0,13.0,S,8,0,Mr,0
0,2,male,36.0,0,0,13.0,S,8,0,Mr,0
1,2,female,24.0,0,0,13.0,S,6,0,Miss,0
1,2,female,40.0,0,0,13.0,S,8,0,Miss,0
1,3,female,21.42486616542128,1,0,16.1,S,8,1,Mrs,0
1,3,male,3.0,1,1,15.9,S,8,2,Master,1
0,3,male,42.0,0,0,8.6625,S,8,0,Mr,0
0,3,male,23.0,0,0,9.225,S,8,0,Mr,0
0,1,male,41.49154492604835,0,0,35.0,S,3,0,Mr,0
0,3,male,15.0,1,1,7.2292,C,8,2,Mr,0
0,3,male,25.0,1,0,17.8,S,8,1,Mr,0
0,3,male,28.25299938609981,0,0,7.225,C,8,0,Mr,0
0,3,male,28.0,0,0,9.5,S,8,0,Mr,0
1,1,female,22.0,0,1,55.0,S,5,1,Miss,0
0,2,female,38.0,0,0,13.0,S,8,0,Miss,0
1,3,female,25.325462182084323,0,0,7.8792,Q,8,0,Miss,0
1,3,female,25.325462182084323,0,0,7.8792,Q,8,0,Miss,0
0,3,male,40.0,1,4,27.9,S,8,5,Mr,0
0,2,male,29.0,1,0,27.7208,C,8,1,Mr,0
0,3,female,45.0,0,1,14.4542,C,8,1,Mrs,0
0,3,male,35.0,0,0,7.05,S,8,0,Mr,0
0,3,male,24.35146555493272,1,0,15.5,Q,8,1,Mr,0
0,3,male,30.0,0,0,7.25,S,8,0,Mr,0
1,1,female,60.0,1,0,75.25,C,4,1,Mrs,0
1,3,female,25.33670903499269,0,0,7.2292,C,8,0,Mrs,0
1,3,female,25.32769771038549,0,0,7.75,Q,8,0,Miss,0
1,1,female,24.0,0,0,69.3,C,2,0,Other,0
1,1,male,25.0,1,0,55.4417,C,5,1,Mr,0
0,3,male,18.0,1,0,6.4958,S,8,1,Mr,0
0,3,male,19.0,0,0,8.05,S,8,0,Mr,0
0,1,male,22.0,0,0,135.6333,C,8,0,Mr,0
0,3,female,3.0,3,1,21.075,S,8,4,Miss,1
1,1,female,34.00078519828019,1,0,82.1708,C,8,1,Mrs,0
1,3,female,22.0,0,0,7.25,S,8,0,Miss,0
0,1,male,27.0,0,2,211.5,C,3,2,Mr,0
0,3,male,20.0,0,0,4.0125,C,8,0,Mr,0
0,3,male,19.0,0,0,7.775,S,8,0,Mr,0
1,1,female,42.0,0,0,227.525,C,8,0,Miss,0
1,3,female,1.0,0,2,15.7417,C,8,2,Miss,1
0,3,male,32.0,0,0,7.925,S,8,0,Mr,0
1,1,female,35.0,1,0,52.0,S,8,1,Mrs,0
0,3,male,28.24139263389838,0,0,7.8958,S,8,0,Mr,0
0,2,male,18.0,0,0,73.5,S,8,0,Mr,0
0,3,male,1.0,5,2,46.9,S,8,7,Master,1
1,2,female,36.0,0,0,13.0,S,8,0,Miss,0
0,3,male,28.244275288813053,0,0,7.7292,Q,8,0,Mr,0
1,2,female,17.0,0,0,12.0,C,8,0,Miss,0
1,1,male,36.0,1,2,120.0,S,2,3,Mr,0
1,3,male,21.0,0,0,7.7958,S,8,0,Mr,0
0,3,male,28.0,2,0,7.925,S,8,2,Mr,0
1,1,female,23.0,1,0,113.275,C,4,1,Miss,0
1,3,female,24.0,0,2,16.7,S,7,2,Mrs,0
0,3,male,22.0,0,0,7.7958,S,8,0,Mr,0
0,3,female,31.0,0,0,7.8542,S,8,0,Miss,0
0,2,male,46.0,0,0,26.0,S,8,0,Mr,0
0,2,male,23.0,0,0,10.5,S,8,0,Other,0
1,2,female,28.0,0,0,12.65,S,8,0,Mrs,0
1,3,male,39.0,0,0,7.925,S,8,0,Mr,0
0,3,male,26.0,0,0,8.05,S,8,0,Mr,0
0,3,female,21.0,1,0,9.825,S,8,1,Miss,0
0,3,male,28.0,1,0,15.85,S,8,1,Mr,0
0,3,female,20.0,0,0,8.6625,S,8,0,Miss,0
0,2,male,34.0,1,0,21.0,S,8,1,Mr,0
0,3,male,51.0,0,0,7.75,S,8,0,Mr,0
1,2,male,3.0,1,1,18.75,S,8,2,Master,1
0,3,male,21.0,0,0,7.775,S,8,0,Mr,0
0,3,female,12.999725356584575,3,1,25.4667,S,8,4,Miss,1
0,3,male,28.24139263389838,0,0,7.8958,S,8,0,Mr,0
0,3,male,28.259344341425194,0,0,6.8583,Q,8,0,Mr,0
1,1,female,33.0,1,0,90.0,Q,3,1,Miss,0
0,2,male,35.23757858996317,0,0,0.0,S,8,0,Mr,0
1,3,male,44.0,0,0,7.925,S,8,0,Mr,0
0,3,female,25.322506855197016,0,0,8.05,S,8,0,Mrs,0
1,2,female,34.0,1,1,32.5,S,8,2,Mrs,0
1,2,female,18.0,0,2,13.0,S,8,2,Miss,0
0,2,male,30.0,0,0,13.0,S,8,0,Mr,0
0,3,female,10.0,0,2,24.15,S,8,2,Miss,1
0,3,male,28.24139263389838,0,0,7.8958,C,8,0,Mr,0
0,3,male,21.0,0,0,7.7333,Q,8,0,Mr,0
0,3,male,29.0,0,0,7.875,S,8,0,Mr,0
0,3,female,28.0,1,1,14.4,S,8,2,Mrs,0
0,3,male,18.0,1,1,20.2125,S,8,2,Mr,0
0,3,male,28.252566814834104,0,0,7.25,S,8,0,Mr,0
1,2,female,28.0,1,0,26.0,S,8,1,Mrs,0
1,2,female,19.0,0,0,26.0,S,8,0,Miss,0
0,3,male,28.243915389519977,0,0,7.75,Q,8,0,Mr,0
1,3,male,32.0,0,0,8.05,S,5,0,Mr,0
1,1,male,28.0,0,0,26.55,S,3,0,Mr,0
1,3,female,21.42486616542128,1,0,16.1,S,8,1,Mrs,0
1,2,female,42.0,1,0,26.0,S,8,1,Mrs,0
0,3,male,17.0,0,0,7.125,S,8,0,Mr,0
0,1,male,50.0,1,0,55.9,S,5,1,Mr,0
1,1,female,14.0,1,2,120.0,S,2,3,Miss,0
0,3,female,21.0,2,2,34.375,S,8,4,Miss,0
1,2,female,24.0,2,3,18.75,S,8,5,Mrs,0
0,1,male,64.0,1,4,263.0,S,3,5,Mr,0
0,2,male,31.0,0,0,10.5,S,8,0,Mr,0
1,2,female,45.0,1,1,26.25,S,8,2,Mrs,0
0,3,male,20.0,0,0,9.5,S,8,0,Mr,0
0,3,male,25.0,1,0,7.775,S,8,1,Mr,0
1,2,female,28.0,0,0,13.0,S,8,0,Other,0
1,3,male,28.237643106167237,0,0,8.1125,S,8,0,Mr,0
1,1,male,4.0,0,2,81.8583,S,1,2,Master,1
1,2,female,13.0,0,1,19.5,S,8,1,Miss,0
1,1,male,34.0,0,0,26.55,S,8,0,Mr,0
1,3,female,5.0,2,1,19.2583,C,8,3,Miss,1
1,1,male,52.0,0,0,30.5,S,3,0,Other,0
0,2,male,36.0,1,2,27.75,S,8,3,Mr,0
0,3,male,24.27417891203148,1,0,19.9667,S,8,1,Mr,0
0,1,male,30.0,0,0,27.75,C,3,0,Mr,0
1,1,male,49.0,1,0,89.1042,C,3,1,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
1,3,male,29.0,0,0,7.8958,C,8,0,Mr,0
0,1,male,65.0,0,0,26.55,S,5,0,Mr,0
1,1,female,34.52520518597661,1,0,51.8625,S,4,1,Mrs,0
1,2,female,50.0,0,0,10.5,S,8,0,Miss,0
0,3,male,28.243915389519977,0,0,7.75,Q,8,0,Mr,0
1,1,male,48.0,0,0,26.55,S,5,0,Mr,0
0,3,male,34.0,0,0,8.05,S,8,0,Mr,0
0,1,male,47.0,0,0,38.5,S,5,0,Mr,0
0,2,male,48.0,0,0,13.0,S,8,0,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
0,3,male,38.0,0,0,7.05,S,8,0,Mr,0
0,2,male,35.23757858996317,0,0,0.0,S,8,0,Mr,0
0,1,male,56.0,0,0,26.55,S,8,0,Mr,0
0,3,male,28.244347960785685,0,0,7.725,Q,8,0,Mr,0
1,3,female,0.75,2,1,19.2583,C,8,3,Miss,1
0,3,male,28.252566814834104,0,0,7.25,S,8,0,Mr,0
0,3,male,38.0,0,0,8.6625,S,8,0,Mr,0
1,2,female,33.0,1,2,27.75,S,8,3,Mrs,0
1,2,female,23.0,0,0,13.7917,C,4,0,Mrs,0
0,3,female,22.0,0,0,9.8375,S,8,0,Miss,0
0,1,male,41.19739646536797,0,0,52.0,S,1,0,Mr,0
0,2,male,34.0,1,0,21.0,S,8,1,Mr,0
0,3,male,29.0,1,0,7.0458,S,8,1,Mr,0
0,3,male,22.0,0,0,7.5208,S,8,0,Mr,0
1,3,female,2.0,0,1,12.2875,S,8,1,Miss,1
0,3,male,9.0,5,2,46.9,S,8,7,Master,1
0,2,male,35.23757858996317,0,0,0.0,S,8,0,Mr,0
0,3,male,50.0,0,0,8.05,S,8,0,Mr,0
1,3,female,63.0,0,0,9.5875,S,8,0,Mrs,0
1,1,male,25.0,1,0,91.0792,C,2,1,Mr,0
0,3,female,12.999725356584575,3,1,25.4667,S,8,4,Miss,1
1,1,female,35.0,1,0,90.0,S,3,1,Mrs,0
0,1,male,58.0,0,0,29.7,C,2,0,Mr,0
0,3,male,30.0,0,0,8.05,S,8,0,Mr,0
1,3,male,9.0,1,1,15.9,S,8,2,Master,1
0,3,male,24.27417891203148,1,0,19.9667,S,8,1,Mr,0
0,3,male,21.0,0,0,7.25,S,8,0,Mr,0
0,1,male,55.0,0,0,30.5,S,3,0,Mr,0
0,1,male,71.0,0,0,49.5042,C,8,0,Mr,0
0,3,male,21.0,0,0,8.05,S,8,0,Mr,0
0,3,male,28.12784267665044,0,0,14.4583,C,8,0,Mr,0
1,1,female,54.0,1,0,78.2667,C,4,1,Miss,0
0,3,male,28.116739437402288,0,0,15.1,S,8,0,Mr,0
0,1,female,25.0,1,2,151.55,S,3,3,Mrs,0
0,3,male,24.0,0,0,7.7958,S,8,0,Mr,0
0,3,male,17.0,0,0,8.6625,S,8,0,Mr,0
0,3,female,21.0,0,0,7.75,Q,8,0,Miss,0
0,3,female,25.329787894741386,0,0,7.6292,Q,8,0,Miss,0
0,3,female,37.0,0,0,9.5875,S,8,0,Miss,0
1,1,female,16.0,0,0,86.5,S,2,0,Miss,0
0,1,male,18.0,1,0,108.9,C,3,1,Mr,0
1,2,female,33.0,0,2,26.0,S,8,2,Mrs,0
1,1,male,41.63775401385713,0,0,26.55,S,8,0,Mr,0
0,3,male,28.0,0,0,22.525,S,8,0,Mr,0
1,3,male,26.0,0,0,56.4958,S,8,0,Mr,0
1,3,male,29.0,0,0,7.75,Q,8,0,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
1,1,male,36.0,0,0,26.2875,S,5,0,Mr,0
1,1,female,54.0,1,0,59.4,C,8,1,Mrs,0
0,3,male,24.0,0,0,7.4958,S,8,0,Mr,0
0,1,male,47.0,0,0,34.0208,S,4,0,Mr,0
1,2,female,34.0,0,0,10.5,S,6,0,Mrs,0
0,3,male,27.960148639216552,0,0,24.15,Q,8,0,Mr,0
1,2,female,36.0,1,0,26.0,S,8,1,Mrs,0
0,3,male,32.0,0,0,7.8958,S,8,0,Mr,0
1,1,female,30.0,0,0,93.5,S,2,0,Miss,0
0,3,male,22.0,0,0,7.8958,S,8,0,Mr,0
0,3,male,28.25299938609981,0,0,7.225,C,8,0,Mr,0
1,1,female,44.0,0,1,57.9792,C,2,1,Mrs,0
0,3,male,28.252926714127174,0,0,7.2292,C,8,0,Mr,0
0,3,male,40.5,0,0,7.75,Q,8,0,Mr,0
1,2,female,50.0,0,0,10.5,S,8,0,Miss,0
0,1,male,38.259732327982896,0,0,221.7792,S,3,0,Mr,0
0,3,male,39.0,0,0,7.925,S,8,0,Mr,0
0,2,male,23.0,2,1,11.5,S,8,3,Mr,0
1,2,female,2.0,1,1,26.0,S,8,2,Miss,1
0,3,male,28.252926714127174,0,0,7.2292,C,8,0,Mr,0
0,3,male,17.0,1,1,7.2292,C,8,2,Mr,0
1,3,female,23.58220305071175,0,2,22.3583,C,8,2,Mrs,0
0,3,female,30.0,0,0,8.6625,S,8,0,Miss,0
1,2,female,7.0,0,2,26.25,S,8,2,Miss,1
0,1,male,45.0,0,0,26.55,S,2,0,Other,0
1,1,female,30.0,0,0,106.425,C,8,0,Miss,0
0,3,male,28.127121147779242,0,0,14.5,S,8,0,Mr,0
1,1,female,22.0,0,2,49.5,C,2,2,Miss,0
1,1,female,36.0,0,2,71.0,S,2,2,Miss,0
0,3,female,9.0,4,2,31.275,S,8,6,Miss,1
0,3,female,11.0,4,2,31.275,S,8,6,Miss,1
1,2,male,32.0,1,0,26.0,S,8,1,Mr,0
0,1,male,50.0,1,0,106.425,C,3,1,Mr,0
0,1,male,64.0,0,0,26.0,S,8,0,Mr,0
1,2,female,19.0,1,0,26.0,S,8,1,Mrs,0
1,2,male,34.99771782312895,0,0,13.8625,C,8,0,Mr,0
0,3,male,33.0,1,1,20.525,S,8,2,Mr,0
1,2,male,8.0,1,1,36.75,S,8,2,Master,1
1,1,male,17.0,0,2,110.8833,C,3,2,Mr,0
0,2,male,27.0,0,0,26.0,S,8,0,Mr,0
0,3,male,28.24254500375022,0,0,7.8292,Q,8,0,Mr,0
1,3,male,22.0,0,0,7.225,C,8,0,Mr,0
1,3,female,22.0,0,0,7.775,S,8,0,Miss,0
0,1,male,62.0,0,0,26.55,S,8,0,Mr,0
1,1,female,48.0,1,0,39.6,C,1,1,Other,0
0,1,male,38.160313608843055,0,0,227.525,C,8,0,Mr,0
1,1,female,39.0,1,1,79.65,S,5,2,Mrs,0
1,3,female,36.0,1,0,17.4,S,8,1,Mrs,0
0,3,male,28.243915389519977,0,0,7.75,Q,8,0,Mr,0
0,3,male,40.0,0,0,7.8958,S,8,0,Mr,0
0,2,male,28.0,0,0,13.5,S,8,0,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
0,3,female,25.322506855197016,0,0,8.05,S,8,0,Miss,0
0,3,male,24.0,2,0,24.15,S,8,2,Mr,0
0,3,male,19.0,0,0,7.8958,S,8,0,Mr,0
0,3,female,29.0,0,4,21.075,S,8,4,Mrs,0
0,3,male,28.252926714127174,0,0,7.2292,C,8,0,Mr,0
1,3,male,32.0,0,0,7.8542,S,8,0,Mr,0
1,2,male,62.0,0,0,10.5,S,8,0,Mr,0
1,1,female,53.0,2,0,51.4792,S,3,2,Mrs,0
1,1,male,36.0,0,0,26.3875,S,5,0,Mr,0
1,3,female,25.32769771038549,0,0,7.75,Q,8,0,Miss,0
0,3,male,16.0,0,0,8.05,S,8,0,Mr,0
0,3,male,19.0,0,0,14.5,S,8,0,Mr,0
1,2,female,34.0,0,0,13.0,S,8,0,Miss,0
1,1,female,39.0,1,0,55.9,S,5,1,Mrs,0
0,3,female,21.45327225529769,1,0,14.4583,C,8,1,Mrs,0
1,3,male,32.0,0,0,7.925,S,8,0,Mr,0
1,2,female,25.0,1,1,30.0,S,8,2,Miss,0
1,1,female,39.0,1,1,110.8833,C,3,2,Mrs,0
0,2,male,54.0,0,0,26.0,S,8,0,Mr,0
0,1,male,36.0,0,0,40.125,C,1,0,Mr,0
0,3,male,28.227261395790283,0,0,8.7125,C,8,0,Mr,0
1,1,female,18.0,0,2,79.65,S,5,2,Miss,0
0,2,male,47.0,0,0,15.0,S,8,0,Mr,0
1,1,male,60.0,1,1,79.2,C,2,2,Mr,0
0,3,male,22.0,0,0,8.05,S,8,0,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
