Survived,Pclass,Age,SibSp,Parch,Fare,Deck,Relatives,Child,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other
0,3,22.0,1,0,7.25,8,1,0,1,0,1,0,1,0,0
1,1,38.0,1,0,71.2833,3,1,0,0,0,0,0,0,1,0
1,3,26.0,0,0,7.925,8,0,0,0,0,1,1,0,0,0
1,1,35.0,1,0,53.1,3,1,0,0,0,1,0,0,1,0
0,3,35.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,28.231659780419978,0,0,8.4583,8,0,0,1,1,0,0,1,0,0
0,1,54.0,0,0,51.8625,5,0,0,1,0,1,0,1,0,0
0,3,2.0,3,1,21.075,8,4,1,1,0,1,0,0,0,0
1,3,27.0,0,2,11.1333,8,2,0,0,0,1,0,0,1,0
1,2,14.0,1,0,30.0708,8,1,0,0,0,0,0,0,1,0
1,3,4.0,1,1,16.7,7,2,1,0,0,1,1,0,0,0
1,1,58.0,0,0,26.55,3,0,0,0,0,1,1,0,0,0
0,3,20.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,39.0,1,5,31.275,8,6,0,1,0,1,0,1,0,0
0,3,14.0,0,0,7.8542,8,0,0,0,0,1,1,0,0,0
1,2,55.0,0,0,16.0,8,0,0,0,0,1,0,0,1,0
0,3,2.0,4,1,29.125,8,5,1,1,1,0,0,0,0,0
1,2,35.01264153179582,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,3,31.0,1,0,18.0,8,1,0,0,0,1,0,0,1,0
1,3,25.336781706965326,0,0,7.225,8,0,0,0,0,0,0,0,1,0
0,2,35.0,0,0,26.0,8,0,0,1,0,1,0,1,0,0
1,2,34.0,0,0,13.0,4,0,0,1,0,1,0,1,0,0
1,3,15.0,0,0,8.0292,8,0,0,0,1,0,1,0,0,0
1,1,28.0,0,0,35.5,1,0,0,1,0,1,0,1,0,0
0,3,8.0,3,1,21.075,8,4,1,0,0,1,1,0,0,0
1,3,38.0,1,5,31.3875,8,6,0,0,0,1,0,0,1,0
0,3,28.25299938609981,0,0,7.225,8,0,0,1,0,0,0,1,0,0
0,1,19.0,3,2,263.0,3,5,0,1,0,1,0,1,0,0
1,3,25.325462182084323,0,0,7.8792,8,0,0,0,1,0,1,0,0,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
0,1,40.0,0,0,27.7208,8,0,0,1,0,0,0,0,0,1
1,1,32.88734676035182,1,0,146.5208,2,1,0,0,0,0,0,0,1,0
1,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
0,2,66.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,1,28.0,1,0,82.1708,8,1,0,1,0,0,0,1,0,0
0,1,42.0,1,0,52.0,8,1,0,1,0,1,0,1,0,0
1,3,28.252926714127174,0,0,7.2292,8,0,0,1,0,0,0,1,0,0
0,3,21.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,18.0,2,0,18.0,8,2,0,0,0,1,1,0,0,0
1,3,14.0,1,0,11.2417,8,1,0,0,0,0,1,0,0,0
0,3,40.0,1,0,9.475,8,1,0,0,0,1,0,0,1,0
0,2,27.0,1,0,21.0,8,1,0,0,0,1,0,0,1,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,0,0,1,0,0
1,2,3.0,1,2,41.5792,8,3,1,0,0,0,1,0,0,0
1,3,19.0,0,0,7.8792,8,0,0,0,1,0,1,0,0,0
0,3,28.2387245343315,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,24.35146555493272,1,0,15.5,8,1,0,1,1,0,0,1,0,0
1,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
0,3,20.486195038112328,2,0,21.6792,8,2,0,1,0,0,0,1,0,0
0,3,18.0,1,0,17.8,8,1,0,0,0,1,0,0,1,0
0,3,7.0,4,1,39.6875,8,5,1,1,0,1,0,0,0,0
0,3,21.0,0,0,7.8,8,0,0,1,0,1,0,1,0,0
1,1,49.0,1,0,76.7292,4,1,0,0,0,0,0,0,1,0
1,2,29.0,1,0,26.0,8,1,0,0,0,1,0,0,1,0
0,1,65.0,0,1,61.9792,2,1,0,1,0,0,0,1,0,0
1,1,41.48289350073422,0,0,35.5,3,0,0,1,0,1,0,1,0,0
1,2,21.0,0,0,10.5,8,0,0,0,0,1,1,0,0,0
0,3,28.5,0,0,7.2292,8,0,0,1,0,0,0,1,0,0
1,2,5.0,1,2,27.75,8,3,1,0,0,1,1,0,0,0
0,3,11.0,5,2,46.9,8,7,1,1,0,1,0,0,0,0
0,3,22.0,0,0,7.2292,8,0,0,1,0,0,0,1,0,0
1,1,38.0,0,0,80.0,2,0,0,0,0,1,1,0,0,0
0,1,45.0,1,0,83.475,3,1,0,1,0,1,0,1,0,0
0,3,4.0,3,2,27.9,8,5,1,1,0,1,0,0,0,0
0,1,41.61749583634156,0,0,27.7208,8,0,0,1,0,0,0,1,0,0
1,3,23.60949922614194,1,1,15.2458,8,2,0,1,0,0,0,0,0,0
1,2,29.0,0,0,10.5,6,0,0,0,0,1,0,0,1,0
0,3,19.0,0,0,8.1583,8,0,0,1,0,1,0,1,0,0
1,3,17.0,4,2,7.925,8,6,0,0,0,1,1,0,0,0
0,3,26.0,2,0,8.6625,8,2,0,1,0,1,0,1,0,0
0,2,32.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,3,16.0,5,2,46.9,8,7,0,0,0,1,1,0,0,0
0,2,21.0,0,0,73.5,8,0,0,1,0,1,0,1,0,0
0,3,26.0,1,0,14.4542,8,1,0,1,0,0,0,1,0,0
1,3,32.0,0,0,56.4958,8,0,0,1,0,1,0,1,0,0
0,3,25.0,0,0,7.65,6,0,0,1,0,1,0,1,0,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
0,3,28.2387245343315,0,0,8.05,8,0,0,1,0,1,0,1,0,0
1,2,0.83,0,2,29.0,8,2,1,1,0,1,0,0,0,0
1,3,30.0,0,0,12.475,8,0,0,0,0,1,1,0,0,0
0,3,22.0,0,0,9.0,8,0,0,1,0,1,0,1,0,0
1,3,29.0,0,0,9.5,8,0,0,1,0,1,0,1,0,0
1,3,25.32704885348693,0,0,7.7875,8,0,0,0,1,0,1,0,0,0
0,1,28.0,0,0,47.1,8,0,0,1,0,1,0,1,0,0
1,2,17.0,0,0,10.5,8,0,0,0,0,1,1,0,0,0
1,3,33.0,3,0,15.85,8,3,0,0,0,1,0,0,1,0
0,3,16.0,1,3,34.375,8,4,0,1,0,1,0,1,0,0
0,3,28.2387245343315,0,0,8.05,8,0,0,1,0,1,0,1,0,0
1,1,23.0,3,2,263.0,3,5,0,0,0,1,1,0,0,0
0,3,24.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,29.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,20.0,0,0,7.8542,8,0,0,1,0,1,0,1,0,0
0,1,46.0,1,0,61.175,5,1,0,1,0,1,0,1,0,0
0,3,26.0,1,2,20.575,8,3,0,1,0,1,0,1,0,0
0,3,59.0,0,0,7.25,8,0,0,1,0,1,0,1,0,0
0,3,28.2387245343315,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,1,71.0,0,0,34.6542,1,0,0,1,0,0,0,1,0,0
1,1,23.0,0,1,63.3583,4,1,0,1,0,0,0,1,0,0
1,2,34.0,0,1,23.0,8,1,0,0,0,1,0,0,1,0
0,2,34.0,1,0,26.0,8,1,0,1,0,1,0,1,0,0
0,3,28.0,0,0,7.8958,8,0,0,0,0,1,1,0,0,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
0,1,21.0,0,1,77.2875,4,1,0,1,0,1,0,1,0,0
0,3,33.0,0,0,8.6542,8,0,0,1,0,1,0,1,0,0
0,3,37.0,2,0,7.925,8,2,0,1,0,1,0,1,0,0
0,3,28.0,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
1,3,21.0,0,0,7.65,8,0,0,0,0,1,1,0,0,0
1,3,28.24348281825427,0,0,7.775,8,0,0,1,0,1,0,1,0,0
0,3,38.0,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
1,3,21.285578217863808,1,0,24.15,8,1,0,0,1,0,1,0,0,0
0,1,47.0,0,0,52.0,3,0,0,1,0,1,0,1,0,0
0,3,14.5,1,0,14.4542,8,1,0,0,0,0,1,0,0,0
0,3,22.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,20.0,1,0,9.825,8,1,0,0,0,1,1,0,0,0
0,3,17.0,0,0,14.4583,8,0,0,0,0,0,1,0,0,0
0,3,21.0,0,0,7.925,8,0,0,1,0,1,0,1,0,0
0,3,70.5,0,0,7.75,8,0,0,1,1,0,0,1,0,0
0,2,29.0,1,0,21.0,8,1,0,1,0,1,0,1,0,0
0,1,24.0,0,1,247.5208,2,1,0,1,0,0,0,1,0,0
0,3,2.0,4,2,31.275,8,6,1,0,0,1,1,0,0,0
0,2,21.0,2,0,73.5,8,2,0,1,0,1,0,1,0,0
0,3,28.2387245343315,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,2,32.5,1,0,30.0708,8,1,0,1,0,0,0,1,0,0
1,2,32.5,0,0,13.0,5,0,0,0,0,1,1,0,0,0
0,1,54.0,0,1,77.2875,4,1,0,1,0,1,0,1,0,0
1,3,12.0,1,0,11.2417,8,1,1,1,0,0,0,0,0,0
0,3,28.243915389519977,0,0,7.75,8,0,0,1,1,0,0,1,0,0
1,3,24.0,0,0,7.1417,8,0,0,1,0,1,0,1,0,0
1,3,20.57021502191397,1,1,22.3583,6,2,0,0,0,0,1,0,0,0
0,3,45.0,0,0,6.975,8,0,0,1,0,1,0,1,0,0
0,3,33.0,0,0,7.8958,8,0,0,1,0,0,0,1,0,0
0,3,20.0,0,0,7.05,8,0,0,1,0,1,0,1,0,0
0,3,47.0,1,0,14.5,8,1,0,0,0,1,0,0,1,0
1,2,29.0,1,0,26.0,8,1,0,0,0,1,0,0,1,0
0,2,25.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,2,23.0,0,0,15.0458,8,0,0,1,0,0,0,1,0,0
1,1,19.0,0,2,26.2833,4,2,0,0,0,1,1,0,0,0
0,1,37.0,1,0,53.1,3,1,0,1,0,1,0,1,0,0
0,3,16.0,0,0,9.2167,8,0,0,1,0,1,0,1,0,0
0,1,24.0,0,0,79.2,2,0,0,1,0,0,0,1,0,0
0,3,23.70526957580523,0,2,15.2458,8,2,0,0,0,0,0,0,1,0
1,3,22.0,0,0,7.75,8,0,0,0,0,1,1,0,0,0
1,3,24.0,1,0,15.85,8,1,0,0,0,1,0,0,1,0
0,3,19.0,0,0,6.75,8,0,0,1,1,0,0,1,0,0
0,2,18.0,0,0,11.5,8,0,0,1,0,1,0,1,0,0
0,2,19.0,1,1,36.75,8,2,0,1,0,1,0,1,0,0
1,3,27.0,0,0,7.7958,8,0,0,1,0,1,0,1,0,0
0,3,9.0,2,2,34.375,8,4,1,0,0,1,1,0,0,0
0,2,36.5,0,2,26.0,6,2,0,1,0,1,0,1,0,0
0,2,42.0,0,0,13.0,8,0,0,1,0,1,0,0,0,1
0,2,51.0,0,0,12.525,8,0,0,1,0,1,0,0,0,1
1,1,22.0,1,0,66.6,3,1,0,0,0,1,0,0,1,0
0,3,55.5,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,40.5,0,2,14.5,8,2,0,1,0,1,0,1,0,0
0,3,28.25148538666984,0,0,7.3125,8,0,0,1,0,1,0,1,0,0
0,1,51.0,0,1,61.3792,8,1,0,1,0,0,0,1,0,0
1,3,16.0,0,0,7.7333,8,0,0,0,1,0,1,0,0,0
0,3,30.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,28.22812653832169,0,0,8.6625,8,0,0,1,0,1,0,1,0,0
0,3,0.0,8,2,69.55,8,10,1,1,0,1,0,0,0,0
0,3,44.0,0,1,16.1,8,1,0,1,0,1,0,1,0,0
1,2,40.0,0,0,15.75,8,0,0,0,0,1,0,0,1,0
0,3,26.0,0,0,7.775,8,0,0,1,0,1,0,1,0,0
0,3,17.0,0,0,8.6625,8,0,0,1,0,1,0,1,0,0
0,3,1.0,4,1,39.6875,8,5,1,1,0,1,0,0,0,0
1,3,9.0,0,2,20.525,8,2,1,1,0,1,0,0,0,0
1,1,37.48290552092823,0,1,55.0,5,1,0,0,0,1,0,0,1,0
0,3,45.0,1,4,27.9,8,5,0,0,0,1,0,0,1,0
0,1,41.648568295499786,0,0,25.925,8,0,0,1,0,1,0,1,0,0
0,3,28.0,0,0,56.4958,8,0,0,1,0,1,0,1,0,0
0,1,61.0,0,0,33.5,2,0,0,1,0,1,0,1,0,0
0,3,4.0,4,1,29.125,8,5,1,1,1,0,0,0,0,0
1,3,1.0,1,1,11.1333,8,2,1,0,0,1,1,0,0,0
0,3,21.0,0,0,7.925,8,0,0,1,0,1,0,1,0,0
0,1,56.0,0,0,30.6958,1,0,0,1,0,0,0,1,0,0
0,3,18.0,1,1,7.8542,8,2,0,1,0,1,0,1,0,0
0,3,15.91594303571906,3,1,25.4667,8,4,0,1,0,1,0,0,0,0
0,1,50.0,0,0,28.7125,3,0,0,0,0,0,1,0,0,0
0,2,30.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,3,36.0,0,0,0.0,8,0,0,1,0,1,0,1,0,0
0,3,0.0,8,2,69.55,8,10,1,0,0,1,1,0,0,0
0,2,34.97717068800789,0,0,15.05,8,0,0,1,0,0,0,1,0,0
0,3,9.0,4,2,31.3875,8,6,1,1,0,1,0,0,0,0
1,2,1.0,2,1,39.0,6,3,1,1,0,1,0,0,0,0
1,3,4.0,0,2,22.025,8,2,1,0,0,1,1,0,0,0
0,1,41.232002166624476,0,0,50.0,1,0,0,1,0,1,0,1,0,0
1,3,21.435247875798236,1,0,15.5,8,1,0,0,1,0,0,0,1,0
1,1,45.0,0,0,26.55,8,0,0,1,0,1,0,1,0,0
0,3,40.0,1,1,15.5,8,2,0,1,1,0,0,1,0,0
0,3,36.0,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
1,2,32.0,0,0,13.0,8,0,0,0,0,1,0,0,1,0
0,2,19.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
1,3,19.0,1,0,7.8542,8,1,0,0,0,1,1,0,0,0
1,2,3.0,1,1,26.0,6,2,1,1,0,1,0,0,0,0
1,1,44.0,0,0,27.7208,2,0,0,0,0,0,0,0,1,0
1,1,58.0,0,0,146.5208,2,0,0,0,0,0,1,0,0,0
0,3,28.243915389519977,0,0,7.75,8,0,0,1,1,0,0,1,0,0
0,3,42.0,0,1,8.4042,8,1,0,1,0,1,0,1,0,0
1,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
0,2,24.0,0,0,13.0,8,0,0,0,0,1,1,0,0,0
0,3,28.0,0,0,9.5,8,0,0,1,0,1,0,1,0,0
0,3,0.0,8,2,69.55,8,10,1,1,0,1,0,1,0,0
0,3,34.0,0,0,6.4958,8,0,0,1,0,1,0,1,0,0
0,3,45.5,0,0,7.225,8,0,0,1,0,0,0,1,0,0
1,3,18.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,2.0,0,1,10.4625,7,1,1,0,0,1,1,0,0,0
0,3,32.0,1,0,15.85,8,1,0,1,0,1,0,1,0,0
1,3,26.0,0,0,18.7875,8,0,0,1,0,0,0,1,0,0
1,3,16.0,0,0,7.75,8,0,0,0,1,0,1,0,0,0
1,1,40.0,0,0,31.0,1,0,0,1,0,0,0,1,0,0
0,3,24.0,0,0,7.05,8,0,0,1,0,1,0,1,0,0
1,2,35.0,0,0,21.0,8,0,0,0,0,1,1,0,0,0
0,3,22.0,0,0,7.25,8,0,0,1,0,1,0,1,0,0
0,2,30.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,3,24.485562647301716,1,0,7.75,8,1,0,1,1,0,0,1,0,0
1,1,31.0,1,0,113.275,4,1,0,0,0,0,1,0,0,0
1,3,27.0,0,0,7.925,8,0,0,0,0,1,1,0,0,0
0,2,42.0,1,0,27.0,8,1,0,1,0,1,0,1,0,0
1,1,32.0,0,0,76.2917,4,0,0,0,0,0,1,0,0,0
0,2,30.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
1,3,16.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,2,27.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,3,51.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
1,1,38.0,1,0,90.0,3,1,0,1,0,1,0,1,0,0
0,3,22.0,0,0,9.35,8,0,0,1,0,1,0,1,0,0
1,2,19.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,3,20.5,0,0,7.25,8,0,0,1,0,1,0,1,0,0
0,2,18.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,3,12.999725356584575,3,1,25.4667,8,4,1,0,0,1,1,0,0,0
1,1,35.0,1,0,83.475,3,1,0,0,0,1,0,0,1,0
0,3,29.0,0,0,7.775,8,0,0,1,0,1,0,1,0,0
0,2,59.0,0,0,13.5,8,0,0,1,0,1,0,1,0,0
1,3,5.0,4,2,31.3875,8,6,1,0,0,1,1,0,0,0
0,2,24.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,3,25.331158280511147,0,0,7.55,8,0,0,0,0,1,1,0,0,0
0,2,44.0,1,0,26.0,8,1,0,1,0,1,0,1,0,0
1,2,8.0,0,2,26.25,8,2,1,0,0,1,1,0,0,0
0,2,19.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,2,33.0,0,0,12.275,8,0,0,1,0,1,0,1,0,0
0,3,21.45334319698527,1,0,14.4542,8,1,0,0,0,0,1,0,0,0
1,3,21.435247875798236,1,0,15.5,8,1,0,0,1,0,1,0,0,0
0,2,29.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,3,22.0,0,0,7.125,8,0,0,1,0,1,0,1,0,0
0,3,30.0,0,0,7.225,8,0,0,1,0,0,0,1,0,0
0,1,44.0,2,0,90.0,3,2,0,1,1,0,0,0,0,1
0,3,25.0,0,0,7.775,8,0,0,0,0,1,1,0,0,0
1,2,24.0,0,2,14.5,8,2,0,0,0,1,0,0,1,0
1,1,37.0,1,1,52.5542,4,2,0,1,0,1,0,1,0,0
0,2,54.0,1,0,26.0,8,1,0,1,0,1,0,0,0,1
0,3,28.252566814834104,0,0,7.25,8,0,0,1,0,1,0,1,0,0
0,3,29.0,1,1,10.4625,7,2,0,0,0,1,0,0,1,0
0,1,62.0,0,0,26.55,3,0,0,1,0,1,0,1,0,0
0,3,30.0,1,0,16.1,8,1,0,1,0,1,0,1,0,0
0,3,41.0,0,2,20.2125,8,2,0,0,0,1,0,0,1,0
1,3,29.0,0,2,15.2458,8,2,0,0,0,0,0,0,1,0
1,1,37.81054124914488,0,0,79.2,8,0,0,0,0,0,0,0,1,0
1,1,30.0,0,0,86.5,2,0,0,0,0,1,1,0,0,0
1,1,35.0,0,0,512.3292,8,0,0,0,0,0,1,0,0,0
1,2,50.0,0,1,26.0,8,1,0,0,0,1,0,0,1,0
0,3,28.243915389519977,0,0,7.75,8,0,0,1,1,0,0,1,0,0
1,3,3.0,4,2,31.3875,8,6,1,1,0,1,0,0,0,0
0,1,52.0,1,1,79.65,5,2,0,1,0,1,0,1,0,0
0,1,40.0,0,0,0.0,2,0,0,1,0,1,0,1,0,0
0,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
0,2,36.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,3,16.0,4,1,39.6875,8,5,0,1,0,1,0,1,0,0
1,3,25.0,1,0,7.775,8,1,0,1,0,1,0,1,0,0
1,1,58.0,0,1,153.4625,3,1,0,0,0,1,0,0,1,0
1,1,35.0,0,0,135.6333,3,0,0,0,0,1,1,0,0,0
0,1,41.56075632856138,0,0,31.0,8,0,0,1,0,1,0,1,0,0
1,3,25.0,0,0,0.0,8,0,0,1,0,1,0,1,0,0
1,2,41.0,0,1,19.5,8,1,0,0,0,1,0,0,1,0
0,1,37.0,0,1,29.7,3,1,0,1,0,0,0,1,0,0
1,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
1,1,63.0,1,0,77.9583,4,1,0,0,0,1,1,0,0,0
0,3,45.0,0,0,7.75,8,0,0,0,0,1,1,0,0,0
0,2,35.23757858996317,0,0,0.0,8,0,0,1,0,1,0,1,0,0
0,3,7.0,4,1,29.125,8,5,1,1,1,0,0,0,0,0
1,3,35.0,1,1,20.25,8,2,0,0,0,1,0,0,1,0
0,3,65.0,0,0,7.75,8,0,0,1,1,0,0,1,0,0
0,3,28.0,0,0,7.8542,8,0,0,1,0,1,0,1,0,0
0,3,16.0,0,0,9.5,8,0,0,1,0,1,0,1,0,0
1,3,19.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,1,41.64727058170267,0,0,26.0,1,0,0,1,0,1,0,1,0,0
0,3,33.0,0,0,8.6625,8,0,0,1,0,0,0,1,0,0
1,3,30.0,0,0,9.5,8,0,0,1,0,1,0,1,0,0
0,3,22.0,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
1,2,42.0,0,0,13.0,8,0,0,1,0,1,0,1,0,0
1,3,22.0,0,0,7.75,8,0,0,0,1,0,1,0,0,0
1,1,26.0,0,0,78.85,8,0,0,0,0,1,1,0,0,0
1,1,19.0,1,0,91.0792,2,1,0,0,0,0,0,0,1,0
0,2,36.0,0,0,12.875,4,0,0,1,0,0,0,1,0,0
0,3,24.0,0,0,8.85,8,0,0,0,0,1,1,0,0,0
0,3,24.0,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
